species	Order	sp	sample_no	Depth	Study	region	Delta15N	Delta13C	ratio.C.N	Z.dens	C.dens	chla	chlb	chlc	chlca	Host.prot.cont	In.cont	Sk.dens	Tot.Lip.cont
Acropora_muricata	Scleractinia	Am	ACPSBA1	10	DePalmas_et_al	Unknow	6.063	-13.839	8.309913389	530444857.1	437142857.1	761.3545455	0	235.8116883	0.309726513	191432.0886	0	1.560101713	NA
Acropora_muricata	Scleractinia	Am	ACPSBA3	10	DePalmas_et_al	Unknow	5.669	-14.137	9.708293765	544004142.9	322500000	857.5339286	17.7125	253.5053571	0.295621373	173458.0128	0	1.628424678	NA
Acropora_muricata	Scleractinia	Am	ACPSBA4	10	DePalmas_et_al	Unknow	5.235	-15.411	9.49782777	488963629.6	314814814.8	576.8740741	0	200.8481481	0.348166363	202691.0313	0	1.599441542	NA
Acropora_muricata	Scleractinia	Am	ACPSLA12	10	DePalmas_et_al	Unknow	5.079	-18.028	6.135566638	11465066.67	20666666.67	1118.99	69.44333333	447.71	0.400101878	237651.0463	0	1.701589454	NA
Acropora_muricata	Scleractinia	Am	ACPS3	10	DePalmas_et_al	Unknow	2.749	-15.898	6.863033886	89787517.24	184137931	393.7965517	29.01034483	114.8448276	0.291634924	145395.2055	0	1.558342115	NA
Acropora_muricata	Scleractinia	Am	ACPS4	10	DePalmas_et_al	Unknow	3.042	-17.315	7.655612247	453422533.3	388888888.9	679.7866667	32.9	194.2266667	0.285717088	170368.6694	0	1.753564831	NA
Acropora_muricata	Scleractinia	Am	ACPS5	10	DePalmas_et_al	Unknow	3.094	-16.808	6.560498444	478099073.2	328048780.5	545.2756098	12.40487805	171.495122	0.314510898	241458.0468	0	1.495643078	NA
Acropora_muricata	Scleractinia	Am	ACPSS1	10	DePalmas_et_al	Unknow	3.167	-14.613	7.719599097	366036315.8	244561403.5	322.5508772	5.880701754	109.5614035	0.339671696	251339.2132	0	1.715851246	NA
Acropora_muricata	Scleractinia	Am	ACPSS2	10	DePalmas_et_al	Unknow	2.052	-16.349	6.415130581	18511803.92	33333333.33	484.0705882	26.7627451	135.3215686	0.279549247	180824.2389	0	1.693275559	NA
Acropora_muricata	Scleractinia	Am	ACPSS3	10	DePalmas_et_al	Unknow	2.854	-15.555	7.929678468	296840580.6	294193548.4	205.6774194	0	65.07096774	0.316373902	291139.9424	0	1.307470132	NA
Acropora_muricata	Scleractinia	Am	ACPSS4	10	DePalmas_et_al	Unknow	2.868	-13.749	7.991602116	261872337.7	309090909.1	335.6376623	0	103.1519481	0.307331267	232110.9294	0	1.131813031	NA
Acropora_muricata	Scleractinia	Am	ACPSS5	10	DePalmas_et_al	Unknow	3.236	-14.273	9.226143179	217174487.8	199512195.1	468.202439	1.43902439	171.5341463	0.366367477	164027.1665	0	1.710702214	NA
Acropora_muricata	Scleractinia	Am	ACPSS6	10	DePalmas_et_al	Unknow	3.453	-14.589	7.2988028	303094606.1	3.20E+08	399.7818182	0	137.9151515	0.344976048	268429.9221	0	1.310236793	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPS1	10	DePalmas_et_al	Unknow	3.107	-16.519	7.659166889	181106827.6	158965517.2	3146.52069	684.1758621	608.5068966	0.193390401	185783.8039	0	1.58253927	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPS4	10	DePalmas_et_al	Unknow	2.339	-16.277	7.701780207	162649290.3	123548387.1	2785.948387	937.2935484	429.1806452	0.154051901	156312.5259	0	1.800631606	NA
