species	Order	sp	sample_no	Depth	Delta15N	Delta13C	ratio.C.N	Z.dens	C.dens	chla	chlb	chlc	chlca	Host.prot.cont	Tot.Lip.cont	In.cont	Sk.dens
Actinaria_spp	Actinaria	An	AN001	5	3.284	-15.86110508	9.468435796	193235294.1	17470588.24	93.75294118	0	33.27058824	0.354875141	194814.7967	0.514705882	0.117647059	0
Actinaria_spp	Actinaria	An	AN002	5	4.328	-15.9269565	7.473572865	129352941.2	49588235.29	120.9205882	0	36.80588235	0.30438061	207181.8257	0.955882353	0.044117647	0
Actinaria_spp	Actinaria	An	AN003	5.2	4.035	-13.43963113	6.534174099	1064842105	90947368.42	421.6236842	0	176.6657895	0.419012964	371215.8648	1.342105263	0.526315789	0
Actinaria_spp	Actinaria	An	AN004	5.6	3.779	-14.40436571	6.687049117	79862068.97	31655172.41	72.35517241	0.86637931	31.35	0.433279321	177515.1087	0.370689655	0.043103448	0
Actinaria_spp	Actinaria	An	AN005	12	4.849	-14.19260106	7.344392599	483333333.3	372777777.8	109.4680556	0	39.91805556	0.364654833	248061.2411	0.638888889	0.069444444	0
Actinaria_spp	Actinaria	An	AN006	12.2	4.872	-15.24232654	10.62240545	567741935.5	1.6e+08	199.0516129	0	63.14193548	0.317213885	425192.5186	1.935483871	0.032258065	0
Actinaria_spp	Actinaria	An	AN007	11.2	4.516	-15.28633415	9.131038955	338518518.5	66666666.67	188.0462963	0	65.83888889	0.350120636	347018.3396	0.944444444	0.037037037	0
Actinaria_spp	Actinaria	An	AN008	7.3	4.015	-14.5697089	6.570799036	446470588.2	60588235.29	211.1764706	0	74.17352941	0.351239554	205926.4779	0.441176471	0.044117647	0
Actinaria_spp	Actinaria	An	AN009	6.4	3.388	-14.36685978	9.336505053	368135593.2	80677966.1	158.8881356	0	49.48135593	0.311422598	287212.0309	0	0.033898305	0
Actinaria_spp	Actinaria	An	AN010	10	4.117	-14.76101546	5.884583551	504225352.1	322816901.4	115.5943662	0	34.18028169	0.295691588	194747.2244	0	0.084507042	0
Litophyton_sp	Alcyonacea	Lt	LT001	11.8	6.607	-21.39260369	7.533260543	157013333.3	1493333.333	212.344	0	61.32266667	0.28878926	65306.30951	0.64	1.493333333	0
Litophyton_sp	Alcyonacea	Lt	LT003	13	6.074	-21.47765981	7.396226536	35225806.45	473118.2796	149.3634409	0	39.13333333	0.262000749	42266.81209	0.548387097	0.989247312	0
Litophyton_sp	Alcyonacea	Lt	LT004	14	6.394	-22.21998492	7.069117193	97424657.53	273972.6027	121.7342466	0	33.14794521	0.272297617	38220.9714	0.520547945	0.97260274	0
Litophyton_sp	Alcyonacea	Lt	LT005	14.1	6.96	-22.48425854	7.160785444	51582089.55	776119.403	86.58656716	0.191044776	21.50895522	0.248409839	49898.30959	0.626865672	0.880597015	0
Litophyton_sp	Alcyonacea	Lt	LT006	10	6.21	-21.35345931	6.702647362	42338461.54	2276923.077	114.0138462	0	30.15538462	0.264488794	42384.74502	1.230769231	0.969230769	0
Litophyton_sp	Alcyonacea	Lt	LT007	10	5.944	-21.02915142	7.054189563	82349206.35	18285714.29	117.6333333	0	31.11269841	0.264488794	48901.43466	1.063492063	1	0
Litophyton_sp	Alcyonacea	Lt	LT008	10	6.388	-21.2566253	7.597687719	47352941.18	4176470.588	130.9867647	12.16617647	53.875	0.411301097	53331.24178	0.632352941	0.955882353	0
Litophyton_sp	Alcyonacea	Lt	LT009	10	6.003	-21.59470111	6.948712253	103792207.8	4883116.883	144.5272727	3.153246753	38.2987013	0.264992901	51649.45614	0.558441558	1.064935065	0
Litophyton_sp	Alcyonacea	Lt	LT010	10	5.302	-21.39159318	6.823312406	102613333.3	5280000	124.3866667	0	32.616	0.2622146	46230.81222	0.693333333	0.746666667	0
Sarcophyton_sp	Alcyonacea	Sa	SA001	2.1	5.55	-14.68847414	8.562402531	49892473.12	23225806.45	104.1817204	0	4.106451613	0.039416239	29359.65368	0.935483871	1.301075269	0
Sarcophyton_sp	Alcyonacea	Sa	SA002	4	4.345	-16.42521441	7.749400359	102784810.1	20253164.56	34.75949367	0	10.88101266	0.313037145	24190.41672	0.987341772	1.101265823	0
Sarcophyton_sp	Alcyonacea	Sa	SA003	4.3	4.343	-15.87077172	7.320105903	101492537.3	19701492.54	47.5880597	0	13.2238806	0.277882323	40521.11706	1.134328358	1.343283582	0
Sarcophyton_sp	Alcyonacea	Sa	SA004	4	3.283	-16.88658806	8.701556059	153735849.1	18490566.04	77.41886792	0	25.20754717	0.325599532	39286.79577	1.320754717	1.566037736	0
Sarcophyton_sp	Alcyonacea	Sa	SA005	3.7	3.913	-16.79450409	9.604074323	166274509.8	37647058.82	42.54313725	0	15.1745098	0.356685256	61674.67351	1.666666667	1	0
Sarcophyton_sp	Alcyonacea	Sa	SA006	3.5	4.642	-16.4027362	9.861111704	46451612.9	9462365.591	31.72688172	0.335483871	12.52258065	0.394699383	42094.30037	0.838709677	0.47311828	0
Sarcophyton_sp	Alcyonacea	Sa	SA007	4.7	3.783	-18.15203008	7.75834002	103902439	30731707.32	34.73536585	0	12.34268293	0.355334761	21450.17018	0.975609756	1.292682927	0
Sarcophyton_sp	Alcyonacea	Sa	SA008	5.3	4.125	-17.02148155	11.36762335	156428571.4	26428571.43	74.4625	4.392857143	50.1375	0.673325499	65768.92395	1.428571429	1.607142857	0
Sarcophyton_sp	Alcyonacea	Sa	SA009	5.8	4.305	-14.98846278	11.96360138	128735632.2	13333333.33	42.06896552	0	17.87126437	0.424808743	43216.07982	0.896551724	1.091954023	0
Sarcophyton_sp	Alcyonacea	Sa	SA010	6.8	4.449	-16.11826526	9.280466846	163076923.1	10769230.77	50.84038462	0	13.59807692	0.267466051	57564.26471	1.538461538	1.365384615	0
Tubipora_sp	Malacalcyonacea	Tu	TU001	5.5	3.263	-18.40361916	7.334505075	38476190.48	61714285.71	128.1238095	140.1809524	196.047619	1.530141976	475114.0685	3.571428571	0.380952381	0.774131136
Tubipora_sp	Malacalcyonacea	Tu	TU002	5.4	3.255	-18.54426382	6.543740966	164400000	16200000	121.36	38.645	99.21	0.817485168	377919.9465	3.9	0.4	0.495256069
Tubipora_sp	Malacalcyonacea	Tu	TU003	4.7	3.542	-18.93175945	5.914327874	60222222.22	8666666.667	133.0444444	63.35	129.0333333	0.969851345	320761.4053	4.666666667	0.055555556	0.499015892
Tubipora_sp	Malacalcyonacea	Tu	TU005	30.4	3.023	-21.30104202	9.970117375	12727272.73	30545454.55	33.56060606	47.08787879	70.82121212	2.110248307	684979.2261	1.575757576	0.090909091	0.404566699
Tubipora_sp	Malacalcyonacea	Tu	TU007	31	2.625	-20.61620575	6.539519418	94880000	7840000	12.924	8.18	11.532	0.892293408	97473.34186	2.52	0	0.292959268
Tubipora_sp	Malacalcyonacea	Tu	TU008	30.1	3.148	-20.88868798	7.057721624	6222222.222	15703703.7	11.93703704	6.588888889	19.75925926	1.655290102	220514.2766	2.62962963	0.074074074	0.39084164
Tubipora_sp	Malacalcyonacea	Tu	TU010	30.1	2.728	-19.96698919	9.304010785	19130434.78	30956521.74	5.891304348	0	0	0	202304.9075	1.391304348	0.217391304	0.341025687
Tubipora_sp	Malacalcyonacea	Tu	TU011	30.1	2.222	-20.41625561	9.877163167	4909090.909	10545454.55	0	0	0	0	56813.56834	1.545454545	0.090909091	0.330769417
Tubipora_sp	Malacalcyonacea	Tu	TU012	29.7	3.182	-21.26248159	6.194072776	12666666.67	4.1e+07	19.75	0	0	0	160139.946	2.833333333	0.333333333	0.332130485
Tubipora_sp	Malacalcyonacea	Tu	TU013	29.7	2.61	-20.89219692	8.376650517	7040000	17520000	13.572	0.832	4.764	0.351016799	323642.7564	1.52	0.16	0.464106687
Antipathella_sp	Anthipatharia	Ap	AP001	26	8.164	-20.27348439	5.33865954	0	897142857.1	0	0	0	0	614143.9544	0.857142857	0	0.184615385
Antipathella_sp	Anthipatharia	Ap	AP002	26	5.145	-20.24988641	5.333533146	0	733793103.4	0	0.624137931	0.191954023	0	478804.2646	0.264367816	0	0.33
Antipathella_sp	Anthipatharia	Ap	AP003	26	8.096	-20.12795471	5.023972158	0	677368421.1	0	0	0	0	604726.1701	0.157894737	0	0.195
Antipathella_sp	Anthipatharia	Ap	AP004	18.7	8.39	-20.08080941	5.063512264	0	766764705.9	0	0	0	0	648830.26	0.279411765	0	0.177777778
Antipathella_sp	Anthipatharia	Ap	AP005	19.6	8.517	-20.53552202	5.214121589	0	1047341772	0	0	0	0	556135.6682	2.164556962	0	0.121621622
Antipathella_sp	Anthipatharia	Ap	AP006	20.2	8.248	-20.50423713	5.535296842	0	539240506.3	0	2.325316456	2.141772152	0	573483.2281	0.265822785	0	0.268292683
Antipathella_sp	Anthipatharia	Ap	AP007	19.7	8.544	-20.42710004	5.335175037	0	566052631.6	0	0	0	0	445908.0327	0.355263158	0	0.231578947
Antipathella_sp	Anthipatharia	Ap	AP008	20	8.449	-19.8990316	5.046900584	0	623389830.5	0	0	0	0	610983.2358	0.508474576	0	0.148717949
Antipathella_sp	Anthipatharia	Ap	AP009	19.9	8.588	-20.54173956	5.161872078	0	660530973.5	0	0	0	0	406718.4861	0.123893805	0	0.201587302
Antipathella_sp	Anthipatharia	Ap	AP010	19	8.451	-20.30587952	5.44462283	0	416296296.3	0	0	0	0	567397.3942	0.209876543	0	0.122857143
Distichopora_sp	Anthoathecata	Di	DI001	14.8	4.939	-21.15251223	5.109378442	0	96714285.71	12.69642857	0	0	0	132261.5735	1.607142857	0	1.671469304
Distichopora_sp	Anthoathecata	Di	DI003	7.6	5.553	-21.49144483	5.561484359	0	119733333.3	4.49	0	0	0	93976.09723	2.3	0	1.486435671
